subject,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s041,0.1638,0.2096,0.0458,0.0989,0.2068,0.1079,0.1195,0.239,0.1195,0.1525,0.3527,0.2002,0.0834,0.4498,0.3664,0.1891,0.2551,0.066,0.1058,0.1106,0.0048,0.177,0.0939,-0.0831,0.1138,0.1505,0.0367,0.1319,0.2571,0.1252,0.1224
s029,0.0723,0.1963,0.124,0.0594,0.109,0.0496,0.0507,0.0705,0.0198,0.0639,0.4106,0.3467,0.0739,0.3149,0.241,0.0711,0.1466,0.0755,0.0684,0.1089,0.0405,0.0942,0.1085,0.0143,0.1099,0.0924,-0.0175,0.0853,0.2301,0.1448,0.0684
s024,0.0792,0.1739,0.0947,0.0491,0.1639,0.1148,0.0499,0.2062,0.1563,0.0721,0.5368,0.4647,0.0552,0.4308,0.3756,0.0494,0.4192,0.3698,0.0518,0.2493,0.1975,0.065,0.1342,0.0692,0.0589,0.2515,0.1926,0.0668,0.3026,0.2358,0.0789
s057,0.0773,0.0735,-0.0038,0.0865,0.1187,0.0322,0.0652,0.047,-0.0182,0.0784,0.1093,0.0309,0.0915,0.2316,0.1401,0.0673,0.1401,0.0728,0.0739,0.079,0.0051,0.0897,0.0884,-0.0013,0.0575,0.101,0.0435,0.0863,0.2017,0.1154,0.0849
s022,0.0491,0.396,0.3469,0.0594,0.399,0.3396,0.0602,0.2473,0.1871,0.09,0.3053,0.2153,0.0618,0.5427,0.4809,0.0549,0.3845,0.3296,0.0444,0.2142,0.1698,0.1185,0.1568,0.0383,0.0533,0.2631,0.2098,0.051,0.2863,0.2353,0.0357
s044,0.0784,0.2769,0.1985,0.0525,0.0995,0.047,0.0522,0.153,0.1008,0.0467,0.24,0.1933,0.0417,0.4885,0.4468,0.0586,0.2855,0.2269,0.0596,0.0766,0.017,0.1126,0.2055,0.0929,0.0428,0.1731,0.1303,0.0668,0.1843,0.1175,0.0636
s043,0.0544,1.3784,1.324,0.0681,0.4787,0.4106,0.061,0.1185,0.0575,0.0884,0.3305,0.2421,0.0517,0.5341,0.4824,0.0464,0.3853,0.3389,0.0591,0.0655,0.0064,0.1353,0.2361,0.1008,0.0617,0.3589,0.2972,0.0525,0.3253,0.2728,0.0533
s013,0.0821,0.1723,0.0902,0.0821,0.122,0.0399,0.0856,0.0713,-0.0143,0.0824,0.5368,0.4544,0.0737,0.3179,0.2442,0.0906,0.1157,0.0251,0.0969,0.0909,-0.006,0.0993,0.1147,0.0154,0.0768,0.1325,0.0557,0.0887,0.4042,0.3155,0.1159
s042,0.1084,0.2621,0.1537,0.0462,0.1536,0.1074,0.0652,0.1559,0.0907,0.0762,0.2666,0.1904,0.0559,0.3142,0.2583,0.0731,0.1401,0.067,0.1039,0.1248,0.0209,0.086,0.1794,0.0934,0.1066,0.0633,-0.0433,0.133,0.279,0.146,0.1063
s040,0.1126,0.929,0.8164,0.0939,0.1963,0.1024,0.1242,0.1862,0.062,0.1134,0.5266,0.4132,0.0599,0.4377,0.3778,0.1169,0.3749,0.258,0.125,0.1678,0.0428,0.1582,0.1535,-0.0047,0.1126,0.1875,0.0749,0.115,0.3,0.185,0.1021
s029,0.0834,0.1612,0.0778,0.0628,0.1312,0.0684,0.0584,0.1532,0.0948,0.1022,0.3737,0.2715,0.0826,0.4337,0.3511,0.1056,0.237,0.1314,0.0779,0.1023,0.0244,0.0863,0.1019,0.0156,0.1215,0.0631,-0.0584,0.0961,0.2182,0.1221,0.0911
s002,0.1061,0.1126,0.0065,0.0813,0.1481,0.0668,0.0642,0.0727,0.0085,0.0853,0.3138,0.2285,0.09,0.3485,0.2585,0.0964,0.1511,0.0547,0.0879,0.1637,0.0758,0.094,0.0457,-0.0483,0.0948,0.1919,0.0971,0.0734,0.1778,0.1044,0.0547
s034,0.1095,0.4048,0.2953,0.1147,0.0828,-0.0319,0.0815,0.1092,0.0277,0.0852,0.2764,0.1912,0.119,0.468,0.349,0.1188,0.1681,0.0493,0.09,0.1215,0.0315,0.1021,0.1117,0.0096,0.1163,0.154,0.0377,0.1079,0.2404,0.1325,0.1097
s002,0.0942,0.2453,0.1511,0.0768,0.1412,0.0644,0.0723,0.1317,0.0594,0.0715,0.4895,0.418,0.0697,0.3722,0.3025,0.103,0.1297,0.0267,0.0744,0.1597,0.0853,0.0887,0.1159,0.0272,0.081,0.1926,0.1116,0.0995,0.2176,0.1181,0.0934
s017,0.0576,0.114,0.0564,0.0201,0.3574,0.3373,0.0502,0.0861,0.0359,0.0483,0.2269,0.1786,0.0436,0.324,0.2804,0.0515,0.1447,0.0932,0.0481,0.1026,0.0545,0.0747,0.0346,-0.0401,0.0695,0.1927,0.1232,0.0673,0.1778,0.1105,0.0618
s052,0.0799,0.5637,0.4838,0.0757,0.0604,-0.0153,0.1269,0.0997,-0.0272,0.0829,0.2559,0.173,0.0728,0.2765,0.2037,0.0828,0.269,0.1862,0.0776,0.2008,0.1232,0.0876,0.2356,0.148,0.0829,0.0612,-0.0217,0.1106,0.533,0.4224,0.0789
s028,0.1064,0.1897,0.0833,0.0613,0.1231,0.0618,0.0486,0.0687,0.0201,0.0531,0.7761,0.723,0.046,0.695,0.649,0.0863,0.2919,0.2056,0.0533,0.0653,0.012,0.0821,0.155,0.0729,0.0565,0.2061,0.1496,0.0518,0.1805,0.1287,0.056
s033,0.0686,0.4456,0.377,0.1446,0.1113,-0.0333,0.0824,0.2691,0.1867,0.0944,0.3423,0.2479,0.0723,0.5526,0.4803,0.1601,0.3532,0.1931,0.1063,0.3195,0.2132,0.1849,0.1987,0.0138,0.0997,0.6498,0.5501,0.0726,0.5901,0.5175,0.1066
s005,0.0887,0.4129,0.3242,0.1212,0.2017,0.0805,0.0766,0.1724,0.0958,0.094,0.2547,0.1607,0.0948,0.3561,0.2613,0.1455,0.2532,0.1077,0.071,0.1371,0.0661,0.137,0.1542,0.0172,0.0908,0.2278,0.137,0.089,0.3618,0.2728,0.0892
s002,0.1792,0.1889,0.0097,0.1212,0.1656,0.0444,0.1425,0.1518,0.0093,0.0998,0.4866,0.3868,0.1072,0.6834,0.5762,0.0407,0.5002,0.4595,0.1338,0.1809,0.0471,0.1547,0.2426,0.0879,0.0995,0.2246,0.1251,0.1399,0.5261,0.3862,0.108
s051,0.1124,0.1682,0.0558,0.066,0.118,0.052,0.0662,0.0525,-0.0137,0.0913,0.1852,0.0939,0.1016,0.3253,0.2237,0.1103,0.1612,0.0509,0.0818,0.1294,0.0476,0.0889,0.1153,0.0264,0.1013,0.1227,0.0214,0.076,0.1935,0.1175,0.0612
s018,0.0934,0.1414,0.048,0.0839,0.1341,0.0502,0.0784,0.3484,0.27,0.1077,0.2383,0.1306,0.1088,0.4583,0.3495,0.1001,0.2007,0.1006,0.114,0.1616,0.0476,0.1175,0.1279,0.0104,0.1217,0.0343,-0.0874,0.128,0.2897,0.1617,0.0512
s003,0.2054,0.1533,-0.0521,0.1476,0.1283,-0.0193,0.1582,0.0465,-0.1117,0.263,0.151,-0.112,0.1223,0.3585,0.2362,0.1428,0.1895,0.0467,0.1367,0.1835,0.0468,0.1318,0.084,-0.0478,0.1658,0.1808,0.015,0.1291,0.3654,0.2363,0.1217
s003,0.114,0.1163,0.0023,0.099,0.1378,0.0388,0.1291,0.1371,0.008,0.1022,0.1011,-0.0011,0.1312,0.5474,0.4162,0.1528,0.1953,0.0425,0.0964,0.0703,-0.0261,0.1402,0.0948,-0.0454,0.1033,0.1001,-0.0032,0.076,0.1915,0.1155,0.1032
s044,0.0726,0.2985,0.2259,0.0596,0.1145,0.0549,0.0515,0.1412,0.0897,0.0478,0.2904,0.2426,0.0464,0.6303,0.5839,0.0409,0.8421,0.8012,0.0549,0.0938,0.0389,0.1092,0.2087,0.0995,0.076,0.2266,0.1506,0.0926,0.2423,0.1497,0.0636
s044,0.0747,0.2561,0.1814,0.0715,0.1285,0.057,0.0554,0.2477,0.1923,0.0546,2.5951,2.5405,0.042,0.6887,0.6467,0.0383,0.8427,0.8044,0.0704,0.2087,0.1383,0.0797,0.2654,0.1857,0.0762,0.2318,0.1556,0.1008,0.2542,0.1534,0.0654
s033,0.1137,0.2123,0.0986,0.1736,0.2003,0.0267,0.1058,0.2248,0.119,0.1277,0.6512,0.5235,0.0918,0.5763,0.4845,0.1451,0.4655,0.3204,0.1395,0.306,0.1665,0.1947,0.1715,-0.0232,0.1203,0.2854,0.1651,0.1319,0.3082,0.1763,0.1108
s039,0.0765,0.1616,0.0851,0.0855,0.1008,0.0153,0.0813,0.1641,0.0828,0.0794,0.2149,0.1355,0.0929,0.4216,0.3287,0.1412,0.1288,-0.0124,0.0989,0.1449,0.046,0.0897,0.1132,0.0235,0.0892,0.1844,0.0952,0.0778,0.1729,0.0951,0.0918
s024,0.0892,0.3021,0.2129,0.0562,0.1755,0.1193,0.0317,0.0988,0.0671,0.0584,0.7366,0.6782,0.0549,0.3812,0.3263,0.0562,0.2656,0.2094,0.0417,0.1239,0.0822,0.0734,0.1009,0.0275,0.0671,0.236,0.1689,0.0721,0.2641,0.192,0.0655
s043,0.0599,0.7296,0.6697,0.0567,0.3384,0.2817,0.0617,0.1931,0.1314,0.0886,0.3415,0.2529,0.0699,0.9471,0.8772,0.0541,0.4867,0.4326,0.0646,0.1148,0.0502,0.0815,0.2134,0.1319,0.0533,0.6168,0.5635,0.0536,0.3615,0.3079,0.0512
s017,0.0737,0.1428,0.0691,0.0489,0.1001,0.0512,0.0518,0.1136,0.0618,0.0615,0.199,0.1375,0.0515,0.3445,0.293,0.0404,0.1727,0.1323,0.0742,0.1028,0.0286,0.0731,0.099,0.0259,0.0647,0.1486,0.0839,0.0715,0.1941,0.1226,0.0655
s057,0.0842,0.1545,0.0703,0.0633,0.0918,0.0285,0.0673,0.1053,0.038,0.0544,0.2192,0.1648,0.0739,0.3599,0.286,0.0602,0.1618,0.1016,0.0805,0.1028,0.0223,0.0831,0.147,0.0639,0.0583,0.1915,0.1332,0.0844,0.2874,0.203,0.1438
s052,0.0691,0.5556,0.4865,0.0805,0.0615,-0.019,0.1114,0.09,-0.0214,0.0689,0.2696,0.2007,0.0591,0.2871,0.228,0.0768,0.2346,0.1578,0.0726,0.3322,0.2596,0.0844,0.1079,0.0235,0.0929,0.1536,0.0607,0.0095,0.7267,0.7172,0.0939
s011,0.0832,0.132,0.0488,0.1283,0.0979,-0.0304,0.0903,0.3141,0.2238,0.1417,0.2866,0.1449,0.1431,0.3203,0.1772,0.1359,0.3033,0.1674,0.1264,0.164,0.0376,0.126,0.1075,-0.0185,0.14,0.0953,-0.0447,0.1083,0.2868,0.1785,0.1114
s011,0.0803,0.1589,0.0786,0.1336,0.1043,-0.0293,0.0913,0.1581,0.0668,0.1029,0.1873,0.0844,0.1003,0.2239,0.1236,0.1408,0.2168,0.076,0.1125,0.1012,-0.0113,0.1262,0.1442,0.018,0.1233,0.0356,-0.0877,0.1302,0.0754,-0.0548,0.1502
s043,0.0554,0.2138,0.1584,0.0636,0.2158,0.1522,0.047,0.1942,0.1472,0.0834,0.5728,0.4894,0.0496,0.4961,0.4465,0.038,0.3901,0.3521,0.0567,0.1182,0.0615,0.0873,0.2029,0.1156,0.0504,0.2972,0.2468,0.0348,0.267,0.2322,0.0364
s043,0.0628,0.4425,0.3797,0.057,0.3078,0.2508,0.0712,0.1398,0.0686,0.0699,0.3621,0.2922,0.0578,0.6199,0.5621,0.0501,0.3485,0.2984,0.0623,0.1188,0.0565,0.1134,0.2221,0.1087,0.0591,0.2891,0.23,0.0633,0.3092,0.2459,0.0544
s056,0.0934,0.1168,0.0234,0.1034,0.1306,0.0272,0.1119,0.0636,-0.0483,0.09,0.6138,0.5238,0.0976,0.2646,0.167,0.1069,0.1172,0.0103,0.0984,0.0945,-0.0039,0.1225,0.0945,-0.028,0.0848,0.1597,0.0749,0.1171,0.1143,-0.0028,0.1865
s011,0.0673,0.1203,0.053,0.1315,0.0958,-0.0357,0.1167,0.1328,0.0161,0.0932,0.0765,-0.0167,0.0758,0.1994,0.1236,0.1497,0.2052,0.0555,0.1146,0.1184,0.0038,0.1429,0.1001,-0.0428,0.1094,0.0837,-0.0257,0.0648,0.0425,-0.0223,0.1283
s035,0.0654,0.2955,0.2301,0.0599,0.1082,0.0483,0.0652,0.1507,0.0855,0.0921,0.1665,0.0744,0.0736,0.3899,0.3163,0.1293,0.2077,0.0784,0.096,0.1259,0.0299,0.1211,0.1095,-0.0116,0.0705,1.0937,1.0232,0.1024,0.3388,0.2364,0.0865
s008,0.1333,0.2533,0.12,0.0964,0.1094,0.013,0.0829,0.137,0.0541,0.0969,0.4199,0.323,0.1127,0.3437,0.231,0.0983,0.1163,0.018,0.1244,0.1091,-0.0153,0.1564,0.1416,-0.0148,0.0888,0.4928,0.404,0.0855,0.2044,0.1189,0.1288
s054,0.067,0.2579,0.1909,0.0689,0.0982,0.0293,0.0599,0.0665,0.0066,0.0786,0.211,0.1324,0.0707,0.3055,0.2348,0.0916,0.1043,0.0127,0.1047,0.1233,0.0186,0.0892,0.1069,0.0177,0.1155,0.0746,-0.0409,0.0939,0.2723,0.1784,0.1316
s002,0.0562,0.0973,0.0411,0.0892,0.4157,0.3265,0.081,0.1824,0.1014,0.0971,0.3462,0.2491,0.0573,0.9368,0.8795,0.127,0.2255,0.0985,0.0977,0.1569,0.0592,0.1085,0.1072,-0.0013,0.0671,0.174,0.1069,0.0866,0.1947,0.1081,0.0832
s049,0.0778,0.8731,0.7953,0.1161,0.2148,0.0987,0.0691,0.2904,0.2213,0.1377,4.6417,4.504,0.1063,5.1051,4.9988,0.1,1.1229,1.0229,0.0844,0.1597,0.0753,0.1575,0.2372,0.0797,0.0657,0.4386,0.3729,0.0871,0.9572,0.8701,0.0673
s039,0.0773,0.1627,0.0854,0.0936,0.1348,0.0412,0.0731,0.1565,0.0834,0.0694,0.2071,0.1377,0.0955,0.421,0.3255,0.1422,0.1451,0.0029,0.0834,0.1347,0.0513,0.1111,0.1244,0.0133,0.0826,0.1997,0.1171,0.0831,0.1829,0.0998,0.1
s056,0.0955,0.1128,0.0173,0.1095,0.129,0.0195,0.1161,0.0794,-0.0367,0.0921,0.1881,0.096,0.1021,0.252,0.1499,0.0971,0.1296,0.0325,0.0968,0.104,0.0072,0.077,0.0876,0.0106,0.0712,0.1559,0.0847,0.1348,0.1204,-0.0144,0.1121
s002,0.1064,0.1277,0.0213,0.0853,0.1473,0.062,0.0797,0.1135,0.0338,0.0829,0.2787,0.1958,0.065,0.3488,0.2838,0.0964,0.146,0.0496,0.0995,0.1394,0.0399,0.1008,0.1225,0.0217,0.0845,0.1705,0.086,0.1061,0.2313,0.1252,0.0845
s041,0.1744,0.1719,-0.0025,0.143,0.3005,0.1575,0.1564,0.2638,0.1074,0.1047,0.2906,0.1859,0.1039,0.691,0.5871,0.1314,0.2976,0.1662,0.119,0.1304,0.0114,0.181,0.1712,-0.0098,0.1602,0.1802,0.02,0.1477,0.5049,0.3572,0.1588
s034,0.1037,0.1329,0.0292,0.0786,0.1287,0.0501,0.0528,0.0826,0.0298,0.0665,0.2553,0.1888,0.0958,0.3999,0.3041,0.1182,0.1436,0.0254,0.1084,0.0784,-0.03,0.0828,0.115,0.0322,0.1092,0.0994,-0.0098,0.0697,0.2112,0.1415,0.0554
s047,0.1074,0.4852,0.3778,0.0968,0.2416,0.1448,0.0897,0.2153,0.1256,0.0778,0.5403,0.4625,0.1076,0.4592,0.3516,0.11,0.2366,0.1266,0.1053,0.1871,0.0818,0.1137,0.1243,0.0106,0.1068,0.2078,0.101,0.1192,0.2808,0.1616,0.0992
s026,0.1066,0.2002,0.0936,0.0686,0.1415,0.0729,0.0919,0.1173,0.0254,0.0861,0.1798,0.0937,0.0774,0.3271,0.2497,0.0771,0.2144,0.1373,0.0982,0.2838,0.1856,0.0929,0.2104,0.1175,0.0842,0.1694,0.0852,0.1275,0.2786,0.1511,0.1172
s052,0.0435,0.4688,0.4253,0.0615,0.042,-0.0195,0.1259,0.1079,-0.018,0.0658,0.2857,0.2199,0.0639,0.3689,0.305,0.0712,0.2572,0.186,0.0697,0.3717,0.302,0.0733,0.1124,0.0391,0.0497,0.0222,-0.0275,0.1056,0.5841,0.4785,0.0857
s046,0.1403,0.5152,0.3749,0.0802,0.1913,0.1111,0.0639,0.3416,0.2777,0.0968,0.2737,0.1769,0.0715,0.4684,0.3969,0.1369,0.2327,0.0958,0.0958,0.2146,0.1188,0.1037,0.1454,0.0417,0.1121,0.2476,0.1355,0.1024,0.2384,0.136,0.0847
s013,0.0684,0.1127,0.0443,0.0631,0.1048,0.0417,0.0771,0.0409,-0.0362,0.0566,0.496,0.4394,0.0277,0.5099,0.4822,0.07,0.1091,0.0391,0.0802,0.0655,-0.0147,0.0866,0.0993,0.0127,0.0607,0.1441,0.0834,0.0647,0.1921,0.1274,0.0787
s037,0.1095,0.1195,0.01,0.0873,0.1345,0.0472,0.0557,0.0829,0.0272,0.0728,0.2163,0.1435,0.0718,0.3274,0.2556,0.0855,0.1491,0.0636,0.0686,0.1705,0.1019,0.1223,0.0407,-0.0816,0.0254,0.5529,0.5275,0.0791,0.2103,0.1312,0.1111
s024,0.0766,0.1731,0.0965,0.056,0.1766,0.1206,0.061,0.355,0.294,0.0665,0.5842,0.5177,0.0499,0.5226,0.4727,0.0576,0.2772,0.2196,0.0346,0.1094,0.0748,0.0784,0.1297,0.0513,0.0586,0.2198,0.1612,0.0744,0.2493,0.1749,0.0713
s055,0.0942,0.1047,0.0105,0.0947,0.1116,0.0169,0.0953,0.0649,-0.0304,0.1452,0.123,-0.0222,0.0889,0.1852,0.0963,0.0959,0.0779,-0.018,0.0877,0.097,0.0093,0.0968,0.0657,-0.0311,0.0625,0.1661,0.1036,0.1045,0.0901,-0.0144,0.1228
s034,0.0633,0.093,0.0297,0.081,0.1364,0.0554,0.0515,0.0663,0.0148,0.0575,0.1959,0.1384,0.0652,0.2963,0.2311,0.119,0.1573,0.0383,0.1375,0.1143,-0.0232,0.0842,0.07,-0.0142,0.1122,0.0889,-0.0233,0.09,0.1777,0.0877,0.0578
s026,0.0787,0.1776,0.0989,0.0734,0.1077,0.0343,0.0781,0.1219,0.0438,0.0927,0.1822,0.0895,0.0755,0.3007,0.2252,0.0919,0.193,0.1011,0.0839,0.2962,0.2123,0.0884,0.203,0.1146,0.0639,0.1914,0.1275,0.0987,0.2403,0.1416,0.0985
s056,0.1026,0.141,0.0384,0.0936,0.1308,0.0372,0.1058,0.0567,-0.0491,0.1362,0.4047,0.2685,0.0989,0.3054,0.2065,0.1048,0.176,0.0712,0.1001,0.0724,-0.0277,0.1077,0.1502,0.0425,0.0794,0.173,0.0936,0.0799,0.1146,0.0347,0.1224
s005,0.0824,0.1934,0.111,0.1103,0.2019,0.0916,0.0832,0.1579,0.0747,0.114,0.2314,0.1174,0.1193,0.4561,0.3368,0.1544,0.2626,0.1082,0.1029,0.1653,0.0624,0.1423,0.1479,0.0056,0.0932,0.2439,0.1507,0.0903,0.3876,0.2973,0.0797
s057,0.0689,0.0963,0.0274,0.0923,0.1213,0.029,0.0911,0.0483,-0.0428,0.061,0.1282,0.0672,0.0807,0.2565,0.1758,0.0768,0.1555,0.0787,0.0781,0.1402,0.0621,0.0921,0.1507,0.0586,0.0907,0.1379,0.0472,0.1095,0.2381,0.1286,0.1029
s036,0.0559,0.5376,0.4817,0.0591,0.2878,0.2287,0.0464,0.2759,0.2295,0.0525,0.3365,0.284,0.0478,0.56,0.5122,0.037,0.5922,0.5552,0.0443,0.1865,0.1422,0.0644,0.3229,0.2585,0.0388,0.5037,0.4649,0.0433,0.6437,0.6004,0.0538
s047,0.0958,0.1859,0.0901,0.09,0.1641,0.0741,0.081,0.1203,0.0393,0.0797,0.8574,0.7777,0.0689,0.7341,0.6652,0.0861,0.2673,0.1812,0.1271,0.8152,0.6881,0.0791,0.1451,0.066,0.0913,0.1775,0.0862,0.1013,0.2178,0.1165,0.0876
s019,0.0908,0.4066,0.3158,0.0713,0.1584,0.0871,0.0607,0.1336,0.0729,0.1109,0.9097,0.7988,0.0729,0.4934,0.4205,0.0927,0.2524,0.1597,0.0663,0.1329,0.0666,0.1225,0.1532,0.0307,0.0729,0.3442,0.2713,0.0723,0.7337,0.6614,0.1336
s052,0.0486,0.5066,0.458,0.0742,0.052,-0.0222,0.1185,0.0974,-0.0211,0.066,0.2717,0.2057,0.0612,0.2813,0.2201,0.0586,0.2298,0.1712,0.0354,0.4071,0.3717,0.0823,0.0773,-0.005,0.0882,0.0375,-0.0507,0.1356,0.3549,0.2193,0.0581
s032,0.0813,0.0952,0.0139,0.0902,0.2036,0.1134,0.0676,0.0594,-0.0082,0.105,0.3057,0.2007,0.0934,0.2548,0.1614,0.119,0.2364,0.1174,0.0662,0.1607,0.0945,0.0122,0.0471,0.0349,0.0839,0.1854,0.1015,0.0726,0.2009,0.1283,0.0826
s034,0.086,0.1379,0.0519,0.1018,0.1285,0.0267,0.0684,0.057,-0.0114,0.0549,0.1746,0.1197,0.09,0.3024,0.2124,0.134,0.418,0.284,0.0968,0.1765,0.0797,0.1092,0.0934,-0.0158,0.1113,0.1672,0.0559,0.1074,1.0477,0.9403,0.144
s010,0.0975,0.091,-0.0065,0.0684,0.1423,0.0739,0.0732,0.07,-0.0032,0.0645,0.1906,0.1261,0.0652,0.1994,0.1342,0.0578,0.1077,0.0499,0.1083,0.0962,-0.0121,0.0618,0.1365,0.0747,0.0795,0.2143,0.1348,0.0779,0.214,0.1361,0.0449
s012,0.1486,0.2298,0.0812,0.1291,0.1423,0.0132,0.1235,0.1415,0.018,0.1151,0.6518,0.5367,0.1082,0.3392,0.231,0.1138,0.2054,0.0916,0.1278,0.0991,-0.0287,0.1043,0.144,0.0397,0.0892,0.2243,0.1351,0.1338,0.31,0.1762,0.133
s010,0.0919,0.1064,0.0145,0.0781,0.1172,0.0391,0.0892,0.0982,0.009,0.0573,0.1916,0.1343,0.0555,0.2026,0.1471,0.0515,0.1056,0.0541,0.1016,0.1368,0.0352,0.0449,0.0901,0.0452,0.0744,0.2275,0.1531,0.0832,0.2016,0.1184,0.0697
s052,0.0454,0.6041,0.5587,0.0889,0.0765,-0.0124,0.1101,0.1074,-0.0027,0.0826,0.2893,0.2067,0.0536,0.261,0.2074,0.0773,0.2174,0.1401,0.0654,0.2815,0.2161,0.0686,0.1103,0.0417,0.0842,0.0543,-0.0299,0.1043,0.375,0.2707,0.0784
s022,0.0594,0.3955,0.3361,0.0502,0.2967,0.2465,0.0478,0.2146,0.1668,0.0979,0.3248,0.2269,0.057,0.4141,0.3571,0.0533,0.3631,0.3098,0.052,0.2078,0.1558,0.1154,0.1967,0.0813,0.0536,0.3832,0.3296,0.0481,0.296,0.2479,0.0448
s047,0.0702,0.2945,0.2243,0.096,0.3969,0.3009,0.0834,0.1818,0.0984,0.0934,0.5828,0.4894,0.0955,0.4015,0.306,0.0879,0.3145,0.2266,0.0631,0.1653,0.1022,0.076,0.1027,0.0267,0.0963,0.1757,0.0794,0.1195,0.2985,0.179,0.095
s051,0.129,0.2054,0.0764,0.062,0.0285,-0.0335,0.0923,0.139,0.0467,0.1187,0.1036,-0.0151,0.062,0.2428,0.1808,0.0834,0.0974,0.014,0.0675,0.1114,0.0439,0.0871,0.0845,-0.0026,0.0963,0.0654,-0.0309,0.0963,0.2051,0.1088,0.0712
s024,0.0768,0.2206,0.1438,0.0539,0.1608,0.1069,0.0404,0.1209,0.0805,0.0536,0.5072,0.4536,0.0507,0.3764,0.3257,0.0607,0.2948,0.2341,0.0528,0.2086,0.1558,0.0766,0.1397,0.0631,0.0644,0.2913,0.2269,0.071,0.2638,0.1928,0.0729
s046,0.1024,0.3275,0.2251,0.0902,0.2094,0.1192,0.0728,0.1749,0.1021,0.0799,0.231,0.1511,0.0828,0.6449,0.5621,0.106,0.1279,0.0219,0.0955,0.1396,0.0441,0.1388,0.133,-0.0058,0.1211,0.1791,0.058,0.077,0.2425,0.1655,0.1002
s016,0.1029,0.3329,0.23,0.0755,0.1766,0.1011,0.0789,0.2045,0.1256,0.1022,0.3407,0.2385,0.0816,0.6226,0.541,0.1172,0.1811,0.0639,0.0911,0.1709,0.0798,0.1077,0.1674,0.0597,0.0974,0.2483,0.1509,0.0863,0.2899,0.2036,0.0784
s051,0.0728,0.1961,0.1233,0.0929,0.095,0.0021,0.0657,0.1406,0.0749,0.129,0.0981,-0.0309,0.0169,0.4619,0.445,0.0866,0.1254,0.0388,0.0588,0.084,0.0252,0.0681,0.1133,0.0452,0.0842,0.0733,-0.0109,0.0639,0.1627,0.0988,0.0488
s047,0.0807,0.1798,0.0991,0.0507,0.2725,0.2218,0.0968,0.1825,0.0857,0.0536,0.5763,0.5227,0.0939,0.4136,0.3197,0.0721,0.4896,0.4175,0.0741,0.1607,0.0866,0.0984,0.1354,0.037,0.096,0.1915,0.0955,0.0926,0.227,0.1344,0.0973
s036,0.053,0.8562,0.8032,0.0488,0.5694,0.5206,0.0515,0.7113,0.6598,0.0723,2.207,2.1347,0.0673,1.926,1.8587,0.0546,1.7986,1.744,0.043,0.1831,0.1401,0.0573,0.5281,0.4708,0.037,0.7065,0.6695,0.0522,2.2453,2.1931,0.0475
s033,0.1068,0.3267,0.2199,0.159,0.1395,-0.0195,0.1079,0.211,0.1031,0.1002,0.6181,0.5179,0.0878,0.4756,0.3878,0.1369,0.2358,0.0989,0.1522,0.194,0.0418,0.1733,0.1902,0.0169,0.1121,0.3181,0.206,0.0989,0.2784,0.1795,0.0797
s019,0.0597,0.2657,0.206,0.0774,0.2685,0.1911,0.0557,0.0892,0.0335,0.0697,0.2853,0.2156,0.0507,0.3736,0.3229,0.0969,0.2323,0.1354,0.0639,0.0833,0.0194,0.1059,0.1748,0.0689,0.0533,0.2417,0.1884,0.0536,0.4319,0.3783,0.0628
s046,0.1205,0.5795,0.459,0.0776,0.1937,0.1161,0.0646,0.2205,0.1559,0.061,0.575,0.514,0.0646,0.5509,0.4863,0.1214,0.3836,0.2622,0.0662,0.268,0.2018,0.09,0.094,0.004,0.1037,0.1968,0.0931,0.1079,0.2431,0.1352,0.0878
s053,0.13,0.1898,0.0598,0.0707,0.1135,0.0428,0.0926,0.1063,0.0137,0.0591,0.2382,0.1791,0.0776,0.3631,0.2855,0.0551,0.1833,0.1282,0.061,0.0941,0.0331,0.1142,0.0678,-0.0464,0.1145,0.086,-0.0285,0.1105,0.8037,0.6932,0.13
s002,0.1106,0.2435,0.1329,0.0876,0.1365,0.0489,0.0839,0.1842,0.1003,0.0739,0.8487,0.7748,0.0726,0.4355,0.3629,0.0971,0.2557,0.1586,0.0847,0.2315,0.1468,0.1296,0.1846,0.055,0.0697,0.2011,0.1314,0.0774,0.2322,0.1548,0.0657
s030,0.2198,0.2963,0.0765,0.1204,0.2901,0.1697,0.0739,0.3518,0.2779,0.1985,0.5756,0.3771,0.0945,0.3878,0.2933,0.1116,0.2172,0.1056,0.1409,0.17,0.0291,0.1497,0.2334,0.0837,0.1344,0.2582,0.1238,0.0993,0.3103,0.211,0.1043
s032,0.1116,0.1247,0.0131,0.1213,0.1427,0.0214,0.1111,0.0839,-0.0272,0.1217,0.1132,-0.0085,0.0926,0.3268,0.2342,0.1211,0.2902,0.1691,0.1,0.0104,-0.0896,0.1184,0.1704,0.052,0.0863,0.0945,0.0082,0.1398,0.2362,0.0964,0.1116
